Contract,PaymentMethod,n,churned,churn_rate,ci_low,ci_high,small_group
Month-to-month,Bank transfer (automatic),589,201,0.341256366723,0.304105058978,0.380464909573,False
Month-to-month,Credit card (automatic),543,178,0.327808471455,0.289655905058,0.368380264322,False
Month-to-month,Electronic check,1850,994,0.537297297297,0.514522791667,0.559917230884,False
Month-to-month,Mailed check,893,282,0.315789473684,0.286146542448,0.347010470128,False
One year,Bank transfer (automatic),391,38,0.0971867007673,0.0716268191579,0.130584617957,False
One year,Credit card (automatic),398,41,0.103015075377,0.0768477778925,0.136772437086,False
One year,Electronic check,347,64,0.184438040346,0.1471631892,0.228623239416,False
One year,Mailed check,337,23,0.0682492581602,0.0459052921568,0.100325330706,False
Two year,Bank transfer (automatic),564,19,0.0336879432624,0.0216710768844,0.0520140304122,False
Two year,Credit card (automatic),581,13,0.0223752151463,0.0131220139852,0.0379028550124,False
Two year,Electronic check,168,13,0.077380952381,0.0457769641013,0.127879957956,False
Two year,Mailed check,382,3,0.00785340314136,0.00267438847093,0.0228320950749,False
