Contract,tenure_band,n,churned,churn_rate,ci_low,ci_high,small_group
Month-to-month,"[0,6)",1318,740,0.561456752656,0.534527616658,0.588028684567,False
Month-to-month,"[6,12)",590,251,0.425423728814,0.386138540047,0.465673759864,False
Month-to-month,"[12,24)",765,288,0.376470588235,0.34283514112,0.411340446277,False
Month-to-month,"[24,48)",845,284,0.336094674556,0.305050353096,0.368622513467,False
Month-to-month,"[48,73)",357,92,0.257703081232,0.215081661485,0.30548340727,False
One year,"[0,6)",32,4,0.125,0.0497013438748,0.280683054817,False
One year,"[6,12)",70,4,0.0571428571429,0.0224437791007,0.137919504748,False
One year,"[12,24)",199,21,0.105527638191,0.0700631887479,0.155933306679,False
One year,"[24,48)",510,50,0.0980392156863,0.0751577556007,0.126930762245,False
One year,"[48,73)",662,87,0.131419939577,0.107795991119,0.159296807722,False
Two year,"[0,6)",21,0,0,0,0.154639018925,True
Two year,"[6,12)",38,0,0,0,0.0918098682256,False
Two year,"[12,24)",83,0,0,3.46944695195e-18,0.044235309642,False
Two year,"[24,48)",269,5,0.0185873605948,0.00796489256017,0.0427658830357,False
Two year,"[48,73)",1284,43,0.0334890965732,0.0249566987036,0.0448045736994,False
