combination,n,churned,churn_rate,ci_low,ci_high,small_group
000000,693,362,0.522366522367,0.485156492577,0.559329953526,False
111111,284,15,0.0528169014085,0.0322656884797,0.0853040978858,False
000011,218,131,0.600917431193,0.534704749939,0.66363509255,False
010000,209,82,0.392344497608,0.32866196897,0.459913056547,False
011011,196,77,0.392857142857,0.327173006902,0.462660392794,False
001011,189,96,0.507936507937,0.43721748564,0.578339335068,False
000001,185,120,0.648648648649,0.577468997785,0.713780605684,False
100000,175,52,0.297142857143,0.234380889801,0.368619440949,False
000010,171,105,0.614035087719,0.539326151071,0.6837330722,False
011111,169,26,0.153846153846,0.10720330098,0.21587577508,False
101111,131,14,0.106870229008,0.0647347020109,0.171405273774,False
010011,127,58,0.456692913386,0.372603607647,0.543325180528,False
001000,124,56,0.451612903226,0.366788744417,0.539344992551,False
001111,121,35,0.289256198347,0.215940501181,0.375541363243,False
000100,102,27,0.264705882353,0.188764024119,0.35772748748,False
110100,94,6,0.063829787234,0.0295797352976,0.13232973551,False
111011,92,13,0.141304347826,0.0844769337838,0.226885802008,False
110000,90,17,0.188888888889,0.121412598441,0.281836235243,False
100100,77,11,0.142857142857,0.0816833163991,0.23797270166,False
010111,74,11,0.148648648649,0.085080595485,0.246894925172,False
101011,72,18,0.25,0.164390512255,0.360935074043,False
000111,71,25,0.352112676056,0.251227481217,0.468179377884,False
010010,70,28,0.4,0.293342577256,0.517062035226,False
001010,68,27,0.397058823529,0.289287001803,0.515839449834,False
111000,68,9,0.132352941176,0.0712224441023,0.232800597457,False
111100,66,3,0.0454545454545,0.0155782743344,0.125333141132,False
001001,65,28,0.430769230769,0.317594574156,0.551670253258,False
010001,65,28,0.430769230769,0.317594574156,0.551670253258,False
010100,64,15,0.234375,0.147498955939,0.351332575826,False
011000,64,24,0.375,0.266659801788,0.49749621316,False
111101,63,4,0.0634920634921,0.0249656180134,0.152191778453,False
110111,59,11,0.186440677966,0.10742721942,0.30378950447,False
100011,58,22,0.379310344828,0.265642726773,0.507971928072,False
011001,57,13,0.228070175439,0.13841890499,0.352060110457,False
111110,57,3,0.0526315789474,0.0180602956337,0.143695503972,False
001100,55,14,0.254545454545,0.158121147731,0.383018712818,False
101000,53,6,0.11320754717,0.052930309477,0.22576519112,False
011010,52,15,0.288461538462,0.183299604147,0.422727880367,False
101100,48,5,0.104166666667,0.0453217190418,0.221674216944,False
110011,44,10,0.227272727273,0.128419475949,0.369923580646,False
110001,41,9,0.219512195122,0.120031747782,0.367050059882,False
000110,40,17,0.425,0.2850939256,0.57804931458,False
100010,39,10,0.25641025641,0.14568780541,0.410816559217,False
101101,39,4,0.102564102564,0.0406133134467,0.235788544629,False
110010,39,6,0.153846153846,0.0724747237698,0.297294636489,False
001101,36,6,0.166666666667,0.0787044759502,0.318907943113,False
011100,36,6,0.166666666667,0.0787044759502,0.318907943113,False
100001,36,8,0.222222222222,0.117163319758,0.380847029461,False
010110,35,6,0.171428571429,0.081026400537,0.32682282299,False
100111,35,9,0.257142857143,0.141630270691,0.420693068438,False
110110,35,4,0.114285714286,0.045351793331,0.259514686462,False
010101,34,8,0.235294117647,0.124369855326,0.399961379225,False
111001,32,3,0.09375,0.0324015512984,0.242181547284,False
110101,31,1,0.0322580645161,0.00571722152542,0.161941051647,False
111010,31,5,0.161290322581,0.0709262444337,0.326343539588,False
100101,30,2,0.0666666666667,0.0184770237913,0.213234583626,False
000101,29,6,0.206896551724,0.0984607019784,0.383900904039,True
011110,29,4,0.137931034483,0.0549743996411,0.305589937204,True
001110,28,2,0.0714285714286,0.0198120641153,0.226453625684,True
101001,27,4,0.148148148148,0.0591592777624,0.324786854278,True
100110,25,4,0.16,0.0640345145668,0.346536216072,True
101110,25,3,0.12,0.0416681715044,0.299557939209,True
101010,23,4,0.173913043478,0.0697865356306,0.371376476402,True
011101,22,3,0.136363636364,0.0474900371406,0.333349871666,True
