InternetService,service_count,n,churned,churn_rate,ci_low,ci_high,small_group
DSL,0,294,121,0.41156462585,0.356804908637,0.468605562404,False
DSL,1,415,134,0.322891566265,0.279706834272,0.369325044249,False
DSL,2,454,92,0.202643171806,0.168233750037,0.242042460651,False
DSL,3,475,62,0.130526315789,0.103171383612,0.163809381035,False
DSL,4,359,33,0.091922005571,0.0662024097158,0.12628237151,False
DSL,5,281,15,0.0533807829181,0.0326129892407,0.0861950626517,False
DSL,6,143,2,0.013986013986,0.00384388663034,0.0495569640808,False
Fiber optic,0,399,241,0.604010025063,0.555250001704,0.6507863885,False
Fiber optic,1,551,308,0.558983666062,0.517259911209,0.599890671118,False
Fiber optic,2,579,278,0.480138169257,0.439708678079,0.520829475733,False
Fiber optic,3,643,244,0.379471228616,0.342784656159,0.417589392402,False
Fiber optic,4,493,157,0.31845841785,0.278873130113,0.360850977402,False
Fiber optic,5,290,56,0.193103448276,0.151804465361,0.242426693461,False
Fiber optic,6,141,13,0.0921985815603,0.0546737452122,0.15135468797,False
No,0,1526,113,0.0740498034076,0.0619544377837,0.088284305908,False
