field,before_dtype,after_dtype,before_explicit_na,before_blank,before_semantic_missing,after_missing,after_unique,origin
customerID,object,object,0,0,0,0,7043,customerID
gender,object,object,0,0,0,0,2,gender
SeniorCitizen,object,int64,0,0,0,0,2,SeniorCitizen
Partner,object,object,0,0,0,0,2,Partner
Dependents,object,object,0,0,0,0,2,Dependents
tenure,object,int64,0,0,0,0,73,tenure
PhoneService,object,object,0,0,0,0,2,PhoneService
MultipleLines,object,object,0,0,0,0,3,MultipleLines
InternetService,object,object,0,0,0,0,3,InternetService
OnlineSecurity,object,object,0,0,0,0,3,OnlineSecurity
OnlineBackup,object,object,0,0,0,0,3,OnlineBackup
DeviceProtection,object,object,0,0,0,0,3,DeviceProtection
TechSupport,object,object,0,0,0,0,3,TechSupport
StreamingTV,object,object,0,0,0,0,3,StreamingTV
StreamingMovies,object,object,0,0,0,0,3,StreamingMovies
Contract,object,object,0,0,0,0,3,Contract
PaperlessBilling,object,object,0,0,0,0,2,PaperlessBilling
PaymentMethod,object,object,0,0,0,0,4,PaymentMethod
MonthlyCharges,object,float64,0,0,0,0,1585,MonthlyCharges
TotalCharges,object,float64,0,11,11,11,6531,TotalCharges
Churn,object,object,0,0,0,0,2,Churn
churn_label,not_present,int64,0,0,0,0,2,Churn
total_charges_missing,not_present,int64,0,0,0,0,2,TotalCharges
tenure_zero,not_present,int64,0,0,0,0,2,tenure
internet_applicable,not_present,int64,0,0,0,0,2,InternetService
